actual_costs_to_report_date,project_id,department,category,subcategory,project_description,initial_costs,cap_ex_2019,op_map
513031.1,1853000117,Public Works,Parks and Open Space,Parks Improvements,Community&Nghbor Parks-Existi,493643.6,19387.5,Parks and Urban Forestry
18945.93,1804102219,Public Works,Regional Streets,Streets Renewals,Dwtn-Hgrv NB-Brodway-York-NBCF,NA,18945.93,Road Maintenance
2422485.14,1806300217,Public Works,Local Streets,Lane Renewals,Lane Renewals - 17-RL-01B WSP,2404217.25,18267.89,Road Maintenance
18000,1816010518,Public Works,Other Street Projects,Asset Management,SMIR-Fly Ash Concrete in Pavem,0,18000,Road Maintenance
3133988.65,1806300118,Public Works,Local Streets,Lane Renewals,Lane Renewals - 18-RL-01A,3116399.35,17589.3,Road Maintenance
3858601.85,1801000314,Public Works,Other Street Projects,New Transportation,Chief Peguis Trail -Main/Rt 90,3841124.49,17477.36,Road Maintenance
230862.08,6321000317,Fire Paramedic Service,Facilities,Maintenance,Station Cap Mtce-Station 16,213912.84,16949.24,Fire Service
301789.09,1806102018,Public Works,Local Streets,Street Renewals,LSR - Assiniboine Park Dr,285050.46,16738.63,Road Maintenance
222535.56,1857001218,Public Works,Parks and Open Space,Community Park Amenities,PREP-St. Charles,206369.5,16166.06,Parks and Urban Forestry
15475.83,6210000219,Community Services (including Community Incentive Grants),Library,Library Improvements- Existing,LibraryRefurb & InteriorInfras,NA,15475.83,Libraries
147708,6250000116,Community Services (including Community Incentive Grants),Recreation and Leisure,Recreation Facility Refurbishment & Redevelopment- Existing,Rec Facility Safety & Access,132317.44,15390.56,Recreation
15174.82,1857000819,Public Works,Parks and Open Space,Community Park Amenities,PREP-Old Kildonan,NA,15174.82,Parks and Urban Forestry
17615.02,2010000918,Waterworks Utility,Distribution,Information Technology,Utility Asset Mgmt System,2464.32,15150.7,Water & Waste
15029.33,1857001019,Public Works,Parks and Open Space,Community Park Amenities,PREP-River Heights-Fort Garry,NA,15029.33,Parks and Urban Forestry
15000,1816010418,Public Works,Other Street Projects,Asset Management,SMIR-Pavement Initiatives,0,15000,Road Maintenance
4165422.93,1806100216,Public Works,Local Streets,Street Renewals,LSR 16-R-01 Morrison,4150642.34,14780.59,Road Maintenance
2898881.92,1806300117,Public Works,Local Streets,Lane Renewals,Lane Renewals - 17-RL-01A WSP,2884131.13,14750.79,Road Maintenance
639394.35,6322004016,Winnipeg Police Service,Police Headquarters,Police Headquarters,EDPS Leasehold Improvements,624802.91,14591.44,Police Service
5138691.17,1804100417,Public Works,Regional Streets,Streets Renewals,Pembina-Killarney/De Vos,5124447.52,14243.65,Road Maintenance
234918.98,2070000412,Land Drainage and Flood Control Utility,Flood Control,Floodplain Mgmt,Floodplain Mgmt,220905.23,14013.75,Misc Capital Expenditure
99606.85,1812000117,Public Works,Other Street Projects,Asset Management,Asset Mgmt - Various Divisions,85799.11,13807.74,Road Maintenance
246548.5,3470000015,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,Enterprise Content Management,233202.25,13346.25,"Innovation, Transformation & Technology"
766000,1850000118,Public Works,Parks and Open Space,"Reforestation, Streets and Aesthetic Improvements",Reforestation - Improvements,753044.9,12955.1,Parks and Urban Forestry
12871.25,3459001918,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,ISP-WPS Queue Mgmt,NA,12871.25,"Innovation, Transformation & Technology"
539605.46,6393010114,Municipal Accommodations,Property Asset Management,Outdoor Aquatic Facilities - Maintenance and Repair - New,Elmwood-Kildonan Spray Pad,526872.36,12733.1,Parks and Urban Forestry
1350819.76,1806101518,Public Works,Local Streets,Street Renewals,Residential TBO A,1338391.11,12428.65,Road Maintenance
558899.81,1804101217,Public Works,Regional Streets,Streets Renewals,Provencher-Des Meurons/Archiba,546583.92,12315.89,Road Maintenance
80137.49,6390005018,Municipal Accommodations,Property Asset Management,City-Wide Accessibility Program,City-Wide Accessibility Prog,67999.81,12137.68,Misc Capital Expenditure
400510.31,3401200017,"Innovation, Transformation and Technology",Hardware,Communications Network Infrastructure,Communications Network Infr,388670.06,11840.25,"Innovation, Transformation & Technology"
31633.55,1804300118,Public Works,Regional Streets,Streets Renewals,PC-Regional & Local St Renewal,19858.4,11775.15,Road Maintenance
2568819.84,1804100917,Public Works,Regional Streets,Streets Renewals,Donald-Notre Dame/Portage,2557051.46,11768.38,Road Maintenance
11489.99,1804102419,Public Works,Regional Streets,Streets Renewals,Dwtn-Carltn St-Prtg-Ellic-NBCF,NA,11489.99,Road Maintenance
96372.77,6351800118,"Planning, Property and Development",City Beautification,Downtown Enhancement Program,Downtown Enhancement Program,85343.58,11029.19,City Beautification
3252244.08,1806300216,Public Works,Local Streets,Lane Renewals,Lane Renewals-16-RL-01B WSP,3241639.65,10604.43,Road Maintenance
10538.04,1857001219,Public Works,Parks and Open Space,Community Park Amenities,PREP-Waverley West,NA,10538.04,Parks and Urban Forestry
4395702.14,1806100618,Public Works,Local Streets,Street Renewals,LSR 18-R-04 WSP,4385186.5,10515.64,Road Maintenance
235954.95,6210000416,Community Services (including Community Incentive Grants),Library,Library Improvements- Existing,Library Refurb/Redevelop Prog,225466.38,10488.57,Libraries
209228.03,2064000217,Solid Waste Disposal Utility,Recycling and Waste Diversion,Information Technology,Garbage&Recycle Cart Asset Man,198802.15,10425.88,Solid Waste Collection
1439232.71,1804100817,Public Works,Regional Streets,Streets Renewals,McGillivray-Fennel/Waverley,1428866.75,10365.96,Road Maintenance
10314.77,1804103619,Public Works,Regional Streets,Streets Renewals,Archibld-Plinget-Doucet-NBCF,NA,10314.77,Road Maintenance
843976.35,1832000216,Public Works,Regional Streets,Active Transportation Facilities,New Regional Sidewalks,833915.91,10060.44,Road Maintenance
140738.23,1853000118,Public Works,Parks and Open Space,Parks Improvements,Community&Nghbor Parks-Existi,131017.46,9720.77,Parks and Urban Forestry
8780.08,3401200019,"Innovation, Transformation and Technology",Hardware,Communications Network Infrastructure,Communications Network Infra,NA,8780.08,"Innovation, Transformation & Technology"
698577.14,1832000217,Public Works,Regional Streets,Active Transportation Facilities,Pedestrian & Cycling Grade Sep,689979.64,8597.5,Recreation
279536.12,2070001216,Land Drainage and Flood Control Utility,Flood Control,Floodplain Mgmt,Flood Manual Upgrades,271251.22,8284.9,Misc Capital Expenditure
1820059.81,1806102217,Public Works,Local Streets,Street Renewals,LSR 17-R-06B MMM,1811977.12,8082.69,Road Maintenance
298272.46,2040001416,Sewage Disposal Utility,Collection,Information Technology,HR Document Mgmt System,290432.74,7839.72,Water & Waste
77292.37,1834000116,Public Works,Other Street Projects,Land Acquisition,Land Acq - Transp Right of Way,69522.66,7769.71,Misc Capital Expenditure
7440,6250000219,Community Services (including Community Incentive Grants),Recreation and Leisure,Recreation Facility Refurbishment & Redevelopment- Existing,Fitness Equipment Upgrade Prog,NA,7440,Recreation
20849.3,2004000717,Waterworks Utility,Distribution,Feeder Mains,Feeder Main Condition Assessmt,13792.23,7057.07,Water & Waste
7055.96,400261717,City Clerks,City Clerks,Innovation Fund,ICF-City Hall Waste Reduction,NA,7055.96,"Innovation, Transformation & Technology"
68334.99,1420214015,Local Improvements,Local Improvements,Lane pavement,WinghamAve-AsphConcLn Pav14x5,61282.86,7052.13,Road Maintenance
2880614.39,1806101217,Public Works,Local Streets,Street Renewals,LSR 17-R-06 MMM,2873819.03,6795.36,Road Maintenance
1111547.12,1804102117,Public Works,Regional Streets,Streets Renewals,McGillivray-Pembina/Fennel,1104964.31,6582.81,Road Maintenance
934746.95,6254000217,Community Services (including Community Incentive Grants),Recreation and Leisure,Recreation Facility Redevelopment- New,Spray Pad - Old Ex/NCentennial,928421.45,6325.5,Recreation
5999.5,2062000219,Solid Waste Disposal Utility,Collection and Disposal,Brady Road,Landfill Gas Capture Expan,NA,5999.5,Solid Waste Collection
25276.93,1804300117,Public Works,Regional Streets,Streets Renewals,"PC-15-R-03, 15-R-05, 13-R-08",19832.48,5444.45,Road Maintenance
175173.66,6321000117,Fire Paramedic Service,Facilities,Maintenance,Station Cap Mtce-Station 2,169882.36,5291.3,Fire Service
5229.82,1420000119,Local Improvements,Local Improvements,Local Improvements - Float,2019 Local Improvements,NA,5229.82,Misc Capital Expenditure
5200.21,6331000419,Municipal Accommodations,Property Asset Management,Fire Safety Upgrading,Fire/Life Safety/Regulatory,NA,5200.21,Fire Service
1004572.32,6392000114,Municipal Accommodations,Property Asset Management,Indoor Aquatic Facilities - Maintenance and Repair,Indoor Aquatic Facilities,999379.94,5192.38,Recreation
4096343.21,1833000213,Public Works,Regional Streets,Active Transportation Facilities,CPR Yards Func Crossing Study,4091205.71,5137.5,Road Maintenance
1538433.89,6392040117,Municipal Accommodations,Property Asset Management,Indoor Aquatic Facilities - Maintenance and Repair,Pan Am Pool RTU Replacement,1533564.79,4869.1,Recreation
4860,6210000119,Community Services (including Community Incentive Grants),Library,Library Improvements- Existing,Library Safety & Access Prog,NA,4860,Libraries
4304323.76,1806101017,Public Works,Local Streets,Street Renewals,LSR 17-R-04 MMM,4299469.63,4854.13,Road Maintenance
236317.09,6331002616,Municipal Accommodations,Property Asset Management,Security/Building Automation Systems Incentives,Security/Building Automation,231512.39,4804.7,Misc Capital Expenditure
4694708.71,1805001715,Public Works,Local Streets,Waterway Crossings and Grade Separations Various,Lyndale Drive-Retaining Wall M,4689933,4775.71,Road Maintenance
1408999.3,2004001115,Waterworks Utility,Distribution,Feeder Mains,North Kildonan Feedermain,1404324.3,4675,Water & Waste
478446.53,4230010716,Transit,Rapid Transit,Land Acquisition,Land Acquisition,473961.62,4484.91,Public Transit
347894.14,2040001117,Sewage Disposal Utility,Collection,Information Technology,Wastewater HaulingSys Replacmt,343422.24,4471.9,Water & Waste
965000,6252000116,Community Services (including Community Incentive Grants),Recreation and Leisure,Recreation Facility Refurbishment & Redevelopment- Existing,Community Centre Reno Grant,960835.3,4164.7,Recreation
4080,400321718,City Clerks,City Clerks,Innovation Fund,ICF-ClimateSmartPilot,NA,4080,"Innovation, Transformation & Technology"
1381807.16,2013500217,Waterworks Utility,Distribution,Water Main Renewals,Transcona Water Main Reliab,1377826.42,3980.74,Water & Waste
399992.45,1804101617,Public Works,Regional Streets,Streets Renewals,Broadway-Portage/Sherbrook,396487.3,3505.15,Road Maintenance
3503.17,2005001218,Waterworks Utility,Supply and Treatment,Pumping Stations,Pump Stn/Reservoir Upgrades,0,3503.17,Water & Waste
3410.88,400000917,City Clerks,City Clerks,Corporate Records Centre,Corporate Records Centre,NA,3410.88,Organizational Support Service
249723.01,2202600016,Winnipeg Police Service,Computer Upgrades,Software Upgrade,Mobile and Transient Users,246776.69,2946.32,Police Service
83455.12,1420213915,Local Improvements,Local Improvements,Lane pavement,KitsonSt-Asph Conc Ln Pav 16x5,80581.42,2873.7,Road Maintenance
355004.21,2002000115,Waterworks Utility,Supply and Treatment,Water Treatment,WTP-Projects and Review,352160.31,2843.9,Water & Waste
164640.49,1420213215,Local Improvements,Local Improvements,Lane pavement,PoplarwoodAve/St.Marys-Asph Co,161829.51,2810.98,Road Maintenance
542108.85,1804101717,Public Works,Regional Streets,Streets Renewals,Lag-Dugald/Regent,539401.26,2707.59,Road Maintenance
2639.4,6362100319,Community Services (including Community Incentive Grants),Library,Library Improvements- Existing,Library FacilityRedev-St James,NA,2639.4,Libraries
2582.2,1420216619,Local Improvements,Local Improvements,Lane pavement,NS Lane East of Desmeuron St,NA,2582.2,Road Maintenance
2582.2,1420216419,Local Improvements,Local Improvements,Lane pavement,KirkdaleSt/Highfield St/Lawnda,NA,2582.2,Road Maintenance
2582.2,1420216519,Local Improvements,Local Improvements,Lane pavement,Walmer St/Kirkdale St/Claremon,NA,2582.2,Road Maintenance
2422696.92,1804100515,Public Works,Regional Streets,Streets Renewals,St. James - Maroons / Ness,2420126.68,2570.24,Road Maintenance
99708.3,6390002018,Municipal Accommodations,Property Asset Management,Community Centres - Refurbishment and Improvements,UFF- Hockey Pen Light Standard,97245.5,2462.8,Recreation
16003.95,1851000116,Public Works,Parks and Open Space,Parks Improvements,Bridgewater Forest Ftn Restore,13656.42,2347.53,Parks and Urban Forestry
95537.05,1853000216,Public Works,Parks and Open Space,Parks Improvements,Off Leash Dog Park Master Plan,93194.35,2342.7,Parks and Urban Forestry
2325.6,3470000019,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,Enterprise Content Managemnt M,NA,2325.6,"Innovation, Transformation & Technology"
71923.73,1420215217,Local Improvements,Local Improvements,Lane pavement,Highfield St/ Coniston St/Fern,69620.71,2303.02,Road Maintenance
145260.26,1420215418,Local Improvements,Local Improvements,Lane pavement,"Bronstone,Fernwood,St. Mary's",143002.6,2257.66,Road Maintenance
2244,1869000117,Public Works,Other Street Projects,Asset Management,Work Mgmt/Asset Mgmt Syst Stud,0,2244,Road Maintenance
125889.9,1420213715,Local Improvements,Local Improvements,Lane pavement,StanmillisAve-Asph Conc Ln Pav,123770.87,2119.03,Road Maintenance
776640.75,1832000415,Public Works,Regional Streets,Active Transportation Facilities,Bicycle Corridors,774614.71,2026.04,Road Maintenance
1836.51,6331000219,Municipal Accommodations,Property Asset Management,Civic Buildings - Refurbishment and Improvements,General Building Reno/Refurb,NA,1836.51,Misc Capital Expenditure
1796.7,1857001419,Public Works,Parks and Open Space,Community Park Amenities,PREP-St. Norbert - Seine River,NA,1796.7,Parks and Urban Forestry
1792.77,1806101719,Public Works,Local Streets,Street Renewals,Granular Road - Road Oiling,NA,1792.77,Road Maintenance
1673128.2,1804100615,Public Works,Regional Streets,Streets Renewals,St. James - Ness / Portage,1671395.83,1732.37,Road Maintenance
67302.6,6392050117,Municipal Accommodations,Property Asset Management,Indoor Aquatic Facilities - Maintenance and Repair,Pan Am Pool Deck Repairs,65579.29,1723.31,Recreation
1263044.59,1803000117,Public Works,Regional Streets,Street Improvements,Kenaston-McGillivray/Bishop,1261447.07,1597.52,Road Maintenance
4232961.19,1804101018,Public Works,Regional Streets,Streets Renewals,Roblin-Assiniboine/Shaftesbury,4231410.39,1550.8,Road Maintenance
1363.87,2005000619,Waterworks Utility,Supply and Treatment,Pumping Stations,Tache Booster Pumping Station,NA,1363.87,Water & Waste
153029.42,1857000918,Public Works,Parks and Open Space,Community Park Amenities,PREP-Point Douglas,151757.42,1272,Parks and Urban Forestry
207733.49,2204400016,Winnipeg Police Service,Police Headquarters,Safety Upgrades,Police HQ Bldg Sys Safeguards,206551.48,1182.01,Police Service
1177.66,1803000319,Public Works,Regional Streets,Street Improvements,Marion St Improv-FuncDesStudy,NA,1177.66,Road Maintenance
3392109.98,1806100817,Public Works,Local Streets,Street Renewals,LSR 17-R-02 MMM,3390986.95,1123.03,Road Maintenance
122972.6,1420215017,Local Improvements,Local Improvements,Lane pavement,Lloyd St/Gauvin St/Coniston St,121867.5,1105.1,Road Maintenance
971,3459000619,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,ISP-Remote Superiision Pilot,NA,971,"Innovation, Transformation & Technology"
1880418.26,1804100317,Public Works,Regional Streets,Streets Renewals,Salter-Inkster/Cathedral,1879451.01,967.25,Road Maintenance
391246.38,1804100517,Public Works,Regional Streets,Streets Renewals,Pembina SB-Dalhousie/De Vos,390337.21,909.17,Road Maintenance
627996.27,1803000217,Public Works,Regional Streets,Street Improvements,Lag & Sage Creek-SB Left Turn,627139.84,856.43,Road Maintenance
8755.25,1420010517,Local Improvements,Local Improvements,Watermains,905 Bickerton St. Watermain,7926.75,828.5,Water & Waste
105762.51,1420214215,Local Improvements,Local Improvements,Lane pavement,Calrossie/Byng/Riverside/Pembi,104980.63,781.88,Road Maintenance
250538.02,1804101817,Public Works,Regional Streets,Streets Renewals,McPhillips-College/Mountain,249762.26,775.76,Road Maintenance
96726.54,1420215117,Local Improvements,Local Improvements,Lane pavement,Coniston St/Lyndale Dr/Crawfor,95965.04,761.5,Road Maintenance
92065.64,1420214115,Local Improvements,Local Improvements,Lane pavement,Somerville Ave/Somerset,91314.39,751.25,Road Maintenance
88543.66,1420215317,Local Improvements,Local Improvements,Lane pavement,Notre Dame St/Dumoulin St/Arch,87835.97,707.69,Road Maintenance
654.05,2037500019,Sewage Disposal Utility,Collection,River Crossing Rehab,River Crossings Monitoring   P,NA,654.05,Water & Waste
78622.65,1420214717,Local Improvements,Local Improvements,Lane pavement,Kirkdale St/Highfield St/Monck,78007.03,615.62,Road Maintenance
2176011.53,1806100217,Public Works,Local Streets,Street Renewals,LSR 17/16-R-03 MMM,2175425.03,586.5,Road Maintenance
96766.93,1420214517,Local Improvements,Local Improvements,Lane pavement,Dumouline St/Provencher Blvd/J,96191.93,575,Road Maintenance
47471.54,2002500618,Waterworks Utility,Supply and Treatment,Water Treatment,WT Research&Process Opt Facili,46935.28,536.26,Water & Waste
67162.38,1420214917,Local Improvements,Local Improvements,Lane pavement,Kirkdale St/Highfield St/Fernd,66667.38,495,Road Maintenance
367.2,3459000518,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,IDP - Oracle EPM,0,367.2,"Innovation, Transformation & Technology"
64301.18,1420214817,Local Improvements,Local Improvements,Lane pavement,Highfield St/Coniston St/Lawnd,63936.18,365,Road Maintenance
360.5,6390002019,Municipal Accommodations,Property Asset Management,Community Centres - Refurbishment and Improvements,UFF- Hockey Pen Light Standard,NA,360.5,Recreation
66570.02,1420214315,Local Improvements,Local Improvements,Lane pavement,Havelock/Portland/St.Andrew/St,66225.02,345,Road Maintenance
310.3,2001001719,Waterworks Utility,Distribution,Various,Public Water Outlets,NA,310.3,Water & Waste
248.71,2004000719,Waterworks Utility,Distribution,Feeder Mains,Feeder Main Condition Assessmt,NA,248.71,Water & Waste
178.76,2078500219,Land Drainage and Flood Control Utility,Flood Control,Outfalls,Outfall Gate Structures,NA,178.76,Misc Capital Expenditure
150.66,3402500018,"Innovation, Transformation and Technology",Hardware,Enterprise Computing,Enterprise Computing Initiativ,0,150.66,"Innovation, Transformation & Technology"
77.5,2030000519,Sewage Disposal Utility,Treatment,Reliability Upgrades,Asset Refurbish/Replace,NA,77.5,Water & Waste
5661185.53,6392010113,Municipal Accommodations,Property Asset Management,Indoor Aquatic Facilities - Maintenance and Repair,Transcona Centennial Pool    M,5661111.4,74.13,Recreation
863582.82,1804100818,Public Works,Regional Streets,Streets Renewals,McPhillips-Swailes/Leila,863528.12,54.7,Road Maintenance
54.05,3461000019,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,Microsoft Office License EverG,NA,54.05,"Innovation, Transformation & Technology"
157574.56,1804101318,Public Works,Regional Streets,Streets Renewals,Paving Granular Shoulders,157541.1,33.46,Road Maintenance
222758.76,1832000211,Public Works,Regional Streets,Active Transportation Facilities,New Regional Sidewalks,222758.76,0,Recreation
4635,1857000518,Public Works,Parks and Open Space,Community Park Amenities,PREP-Fort Rouge-East Fort Garr,4635,0,Parks and Urban Forestry
0,6331020819,Municipal Accommodations,Property Asset Management,Civic Buildings - Refurbishment and Improvements,Gen Replace & Upgrade,NA,0,Misc Capital Expenditure
0,6391000118,Municipal Accommodations,Property Asset Management,Arenas - Refurbishment and Redevelopment - Existing,Arenas,0,0,Misc Capital Expenditure
0,2202400019,Winnipeg Police Service,Computer Upgrades,Computer Upgrades,North Station Inform Tech Req.,NA,0,Police Service
0,2001000818,Waterworks Utility,Distribution,Various,Building Reno-1199 Pacific,0,0,Water & Waste
0,1816010616,Public Works,Other Street Projects,Asset Management,SMIR-Partial Depth Repair,0,0,Road Maintenance
31827.75,1832001009,Public Works,Regional Streets,Active Transportation Facilities,North Winnipeg Parkway,31827.75,0,Recreation
0,6394000118,Municipal Accommodations,Property Asset Management,Community Facilities,Recreation & Leisure Centres,0,0,Misc Capital Expenditure
0,400121716,City Clerks,City Clerks,Innovation Fund,ICF -Y/E Consol/Work Sys,NA,0,"Innovation, Transformation & Technology"
6718678.4,1801000217,Public Works,Other Street Projects,New Transportation,Chief Peguis Trail-Future Pmnt,6718678.4,0,Road Maintenance
0,2205900019,Winnipeg Police Service,Police Headquarters,Police Headquarters,Evidence Archival -Tenant Impr,NA,0,Police Service
0,1804103819,Public Works,Regional Streets,Streets Renewals,PortgeAv EB-St Charls to David,NA,0,Road Maintenance
0,3459001818,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,ISP-Rev & Exp Open Budget,NA,0,"Innovation, Transformation & Technology"
0,3459000719,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,ISP-AVL for Mowers,NA,0,"Innovation, Transformation & Technology"
0,4210010819,Transit,Rapid Transit,Land Acquisition,Land Acquisition,NA,0,Public Transit
0,3455000019,"Innovation, Transformation and Technology",Software,PeopleSoft,PeopleSoft Enhancements,NA,0,"Innovation, Transformation & Technology"
110744.01,1833000115,Public Works,Regional Streets,Active Transportation Facilities,Transportation Master Plan,110744.01,0,Road Maintenance
0,2203800018,Winnipeg Police Service,Police Headquarters,Police Headquarters,Bomb Unit Truck Replacement,0,0,Police Service
11848.96,2013500117,Waterworks Utility,Distribution,Water Main Renewals,Saskatchewan Water Main,11848.96,0,Water & Waste
0,2070000418,Land Drainage and Flood Control Utility,Flood Control,Floodplain Mgmt,Floodplain Mgmt,0,0,Misc Capital Expenditure
1670501.71,1806100517,Public Works,Local Streets,Street Renewals,LSR 17/16-R-05B AECOM,1670501.71,0,Road Maintenance
0,2010001319,Waterworks Utility,Distribution,Information Technology,Automated Remittance Processin,NA,0,Water & Waste
80318.71,1803000617,Public Works,Regional Streets,Street Improvements,Kenaston-Ness/Taylor,80318.71,0,Road Maintenance
0,3462000019,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,Disaster Recov Gap Mitigat Ph1,NA,0,"Innovation, Transformation & Technology"
0,2064000318,Solid Waste Disposal Utility,Recycling and Waste Diversion,Information Technology,Collection Mgmt System,0,0,Solid Waste Collection
0,1804000117,Public Works,Regional Streets,Streets Renewals,Regional and Local Streets Ren,0,0,Road Maintenance
624153.42,1806100117,Public Works,Local Streets,Street Renewals,LSR 17/16-R-02 Morrison,624153.42,0,Road Maintenance
408191.63,1832000113,Public Works,Regional Streets,Active Transportation Facilities,Rec Walkways & Bike Paths,408191.63,0,Recreation
282094.09,1806102317,Public Works,Local Streets,Street Renewals,LSR - McDermot-Arlington/Furby,282094.09,0,Road Maintenance
0,2082000218,Land Drainage and Flood Control Utility,Land Drainage,Land Drainage System,LD Regional/Local Streets,0,0,Misc Capital Expenditure
25000,1816010317,Public Works,Other Street Projects,Asset Management,SMIR-Dutch Elm Disease,25000,0,Parks and Urban Forestry
0,6362100419,Community Services (including Community Incentive Grants),Library,Library Redevelopment- New,Library FacilityRedev-Old Kild,NA,0,Libraries
0,1420000118,Local Improvements,Local Improvements,Local Improvements - Float,2018 Local Improvements,0,0,Misc Capital Expenditure
488467.69,1804200217,Public Works,Regional Streets,Streets Renewals,Sidewalk/Curb Renew-Dtwn RegSt,488467.69,0,Road Maintenance
2655785.26,1806100516,Public Works,Local Streets,Street Renewals,LSR 16-R-04 AECOM,2655785.26,0,Road Maintenance
1532181.76,1801000414,Public Works,Other Street Projects,New Transportation,William Clement Parkway,1532181.76,0,Road Maintenance
0,2202600018,Winnipeg Police Service,Computer Upgrades,Computer Upgrades,Intelligence Led Reporting Ph2,0,0,Police Service
1210670.63,1806101718,Public Works,Local Streets,Street Renewals,Residential TBO C,1210670.63,0,Road Maintenance
0,3459001118,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,ISP - Trainfo,0,0,"Innovation, Transformation & Technology"
0,3459000419,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,ISP-Bike Share,NA,0,"Innovation, Transformation & Technology"
0,2062001019,Solid Waste Disposal Utility,Recycling and Waste Diversion,Brady Road,BRRMF - Onsite Leachate,NA,0,Solid Waste Collection
99.45,2061000117,Solid Waste Disposal Utility,Collection and Disposal,Land Acquisition,Misc Land Acquisition,99.45,0,Solid Waste Collection
0,1831200119,Public Works,Regional Streets,Traffic Engineering Improvements,Permanent Traffic Monitoring,NA,0,Road Maintenance
189553.12,6394000117,Municipal Accommodations,Property Asset Management,Community Facilities,Community Facilities,189553.12,0,Misc Capital Expenditure
0,1859000117,Public Works,Parks and Open Space,Parks Improvements,Regional Pks Investmt Strategy,0,0,Parks and Urban Forestry
103140.98,6393000118,Municipal Accommodations,Property Asset Management,Outdoor Aquatic Facilities - Maintenance and Repair,Outdoor Aquatic Facilities,103140.98,0,Recreation
0,1804101418,Public Works,Regional Streets,Streets Renewals,Reg St Renew-Various Locations,0,0,Road Maintenance
490944.3,1804200116,Public Works,Regional Streets,Sidewalk and Curb Repair,Sidewk/Curb Renew - Reg St,490944.3,0,Road Maintenance
0,2005001517,Waterworks Utility,Supply and Treatment,Water Treatment,Ultraviolet Light  Upgrade,0,0,Water & Waste
0,6390005019,Municipal Accommodations,Property Asset Management,City-Wide Accessibility Program,City-Wide Accessibility Prog,NA,0,Misc Capital Expenditure
0,1857000519,Public Works,Parks and Open Space,Community Park Amenities,PREP-Fort Rouge-East Fort Garr,NA,0,Recreation
3530947.89,1804102116,Public Works,Regional Streets,Streets Renewals,St. James-Maroons/Portage,3530947.89,0,Road Maintenance
0,2202700019,Winnipeg Police Service,Computer Upgrades,Software Upgrade,Major Case Mgnt System Expansn,NA,0,Police Service
0,3459100119,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,Smart Cities Innovation Prgm,NA,0,"Innovation, Transformation & Technology"
161136.59,1804101917,Public Works,Regional Streets,Streets Renewals,Paving Granular Shoulders,161136.59,0,Road Maintenance
0,2005000916,Waterworks Utility,Supply and Treatment,Water Treatment,Deacon PS Suction Header Valve,0,0,Water & Waste
0,1816010118,Public Works,Other Street Projects,Asset Management,SMIR-Sidewalk Trip Hazard Remo,0,0,Road Maintenance
160724.43,6392020116,Municipal Accommodations,Property Asset Management,Indoor Aquatic Facilities - Maintenance and Repair,Margaret Grant Electrical Rplc,160724.43,0,Recreation
206500,3459000218,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,ISP-Electronic Court Notificat,206500,0,"Innovation, Transformation & Technology"
412572.45,1806200118,Public Works,Local Streets,Sidewalks,Sidewalk Renewals Local Street,412572.45,0,Road Maintenance
0,2075000118,Land Drainage and Flood Control Utility,Land Drainage,Storm Water Retention Basin,Stormwater Retention Basin,0,0,Misc Capital Expenditure
49502.16,1816010218,Public Works,Other Street Projects,Asset Management,SMIR-Dutch Elm Disease,49502.16,0,Parks and Urban Forestry
0,400001715,City Clerks,City Clerks,Innovation Fund,Innovation Capital Fund,NA,0,Water & Waste
0,2005001619,Waterworks Utility,Supply and Treatment,Pumping Stations,Discharge Meter Upgrades,NA,0,Water & Waste
214.31,3459000818,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,ISP - AS Innovation Ideas,214.31,0,"Innovation, Transformation & Technology"
0,2075000117,Land Drainage and Flood Control Utility,Land Drainage,Storm Water Retention Basin,Stormwater Retention Basin,0,0,Water & Waste
0,3459000219,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,ISP-Enterprise Mobility Mgmt,NA,0,"Innovation, Transformation & Technology"
0,2003000518,Waterworks Utility,Supply and Treatment,Shoal Lake Intake,Aqueduct Con Assmt,0,0,Water & Waste
0,1420000116,Local Improvements,Local Improvements,Local Improvements - Float,2016 Local Improvements,0,0,Misc Capital Expenditure
0,2104014019,Fire Paramedic Service,Equipment,Replacement,Bariatric Equipment,NA,0,Fire Service
0,1420000115,Local Improvements,Local Improvements,Local Improvements - Float,2015 Local Improvements,0,0,Misc Capital Expenditure
0,6331000718,Municipal Accommodations,Property Asset Management,Civic Buildings - Refurbishment and Improvements,Historic Buildings,0,0,Misc Capital Expenditure
1568430.98,1804102015,Public Works,Regional Streets,Streets Renewals,Plessis/Gunn-Intersectn Improv,1568430.98,0,Road Maintenance
